id,claim_id,book_name,chunk_id,label,confidence,verifier_model,run_id
46,46_c01,In search of the castaways,castaways_ch001_w0106,SUPPORT,0.9183333333333333,heuristic_v1,run_20260111_012408
46,46_c01,In search of the castaways,castaways_ch001_w0233,SUPPORT,0.8383294236325035,heuristic_v1,run_20260111_012408
74,74_c01,In search of the castaways,castaways_ch001_w0005,SUPPORT,0.7537507504667519,heuristic_v1,run_20260111_012408
74,74_c01,In search of the castaways,castaways_ch001_w0238,SUPPORT,0.7164293134201181,heuristic_v1,run_20260111_012408
109,109_c01,The Count of Monte Cristo,montecristo_ch001_w0132,SUPPORT,0.9125,heuristic_v1,run_20260111_012408
109,109_c01,The Count of Monte Cristo,montecristo_ch001_w0862,SUPPORT,0.8071879311696057,heuristic_v1,run_20260111_012408
109,109_c02,The Count of Monte Cristo,montecristo_ch001_w0123,SUPPORT,0.7766459954258714,heuristic_v1,run_20260111_012408
109,109_c02,The Count of Monte Cristo,montecristo_ch001_w0740,SUPPORT,0.8640931682571823,heuristic_v1,run_20260111_012408
104,104_c01,The Count of Monte Cristo,montecristo_ch001_w0192,SUPPORT,0.8695454545454545,heuristic_v1,run_20260111_012408
104,104_c01,The Count of Monte Cristo,montecristo_ch001_w0864,SUPPORT,0.8496119354333056,heuristic_v1,run_20260111_012408
35,35_c01,In search of the castaways,castaways_ch001_w0064,SUPPORT,0.7319983619254627,heuristic_v1,run_20260111_012408
35,35_c01,In search of the castaways,castaways_ch001_w0297,SUPPORT,0.7778913314442472,heuristic_v1,run_20260111_012408
35,35_c02,In search of the castaways,castaways_ch001_w0004,SUPPORT,0.7373310268499365,heuristic_v1,run_20260111_012408
35,35_c02,In search of the castaways,castaways_ch001_w0297,SUPPORT,0.8101586525087862,heuristic_v1,run_20260111_012408
35,35_c03,In search of the castaways,castaways_ch001_w0078,SUPPORT,0.7509887848128387,heuristic_v1,run_20260111_012408
35,35_c03,In search of the castaways,castaways_ch001_w0297,NEUTRAL,0.45203118851531426,heuristic_v1,run_20260111_012408
18,18_c01,In search of the castaways,castaways_ch001_w0116,SUPPORT,0.8218762267071534,heuristic_v1,run_20260111_012408
18,18_c01,In search of the castaways,castaways_ch001_w0170,SUPPORT,0.8253296074311364,heuristic_v1,run_20260111_012408
18,18_c02,In search of the castaways,castaways_ch001_w0042,SUPPORT,0.8288888888888889,heuristic_v1,run_20260111_012408
18,18_c02,In search of the castaways,castaways_ch001_w0230,SUPPORT,0.7894365387766014,heuristic_v1,run_20260111_012408
31,31_c01,In search of the castaways,castaways_ch001_w0086,SUPPORT,0.7373389280683917,heuristic_v1,run_20260111_012408
31,31_c01,In search of the castaways,castaways_ch001_w0297,SUPPORT,0.7674600125339446,heuristic_v1,run_20260111_012408
68,68_c01,In search of the castaways,castaways_ch001_w0079,SUPPORT,0.7451409044406603,heuristic_v1,run_20260111_012408
68,68_c01,In search of the castaways,castaways_ch001_w0176,SUPPORT,0.7178565717973302,heuristic_v1,run_20260111_012408
68,68_c02,In search of the castaways,castaways_ch001_w0145,SUPPORT,0.7479088759103336,heuristic_v1,run_20260111_012408
68,68_c02,In search of the castaways,castaways_ch001_w0256,SUPPORT,0.7253292803740714,heuristic_v1,run_20260111_012408
68,68_c03,In search of the castaways,castaways_ch001_w0101,SUPPORT,0.7161069255881541,heuristic_v1,run_20260111_012408
68,68_c03,In search of the castaways,castaways_ch001_w0246,SUPPORT,0.7777388559270488,heuristic_v1,run_20260111_012408
9,9_c01,In search of the castaways,castaways_ch001_w0058,SUPPORT,0.8049046641234757,heuristic_v1,run_20260111_012408
9,9_c01,In search of the castaways,castaways_ch001_w0303,SUPPORT,0.710479749203038,heuristic_v1,run_20260111_012408
9,9_c02,In search of the castaways,castaways_ch001_w0143,SUPPORT,0.7903321965912661,heuristic_v1,run_20260111_012408
9,9_c02,In search of the castaways,castaways_ch001_w0187,SUPPORT,0.88,heuristic_v1,run_20260111_012408
84,84_c01,In search of the castaways,castaways_ch001_w0126,SUPPORT,0.8024563925693347,heuristic_v1,run_20260111_012408
84,84_c01,In search of the castaways,castaways_ch001_w0264,SUPPORT,0.7265980906383708,heuristic_v1,run_20260111_012408
84,84_c02,In search of the castaways,castaways_ch001_w0103,SUPPORT,0.8190292302313097,heuristic_v1,run_20260111_012408
84,84_c02,In search of the castaways,castaways_ch001_w0285,SUPPORT,0.8170781697438594,heuristic_v1,run_20260111_012408
83,83_c01,In search of the castaways,castaways_ch001_w0024,SUPPORT,0.7980433808334091,heuristic_v1,run_20260111_012408
83,83_c01,In search of the castaways,castaways_ch001_w0294,SUPPORT,0.8505872970595916,heuristic_v1,run_20260111_012408
83,83_c02,In search of the castaways,castaways_ch001_w0019,SUPPORT,0.6501440807124547,heuristic_v1,run_20260111_012408
83,83_c02,In search of the castaways,castaways_ch001_w0204,SUPPORT,0.6501606997743317,heuristic_v1,run_20260111_012408
134,134_c01,The Count of Monte Cristo,montecristo_ch001_w0224,SUPPORT,0.8288888888888889,heuristic_v1,run_20260111_012408
134,134_c01,The Count of Monte Cristo,montecristo_ch001_w0574,SUPPORT,0.747058492102027,heuristic_v1,run_20260111_012408
134,134_c02,The Count of Monte Cristo,montecristo_ch001_w0146,SUPPORT,0.8225,heuristic_v1,run_20260111_012408
134,134_c02,The Count of Monte Cristo,montecristo_ch001_w0590,SUPPORT,0.7557853257111917,heuristic_v1,run_20260111_012408
88,88_c01,The Count of Monte Cristo,montecristo_ch001_w0063,SUPPORT,0.85125,heuristic_v1,run_20260111_012408
88,88_c01,The Count of Monte Cristo,montecristo_ch001_w0668,SUPPORT,0.8138605505309563,heuristic_v1,run_20260111_012408
88,88_c02,The Count of Monte Cristo,montecristo_ch001_w0128,SUPPORT,0.811,heuristic_v1,run_20260111_012408
88,88_c02,The Count of Monte Cristo,montecristo_ch001_w1024,SUPPORT,0.7287412428102521,heuristic_v1,run_20260111_012408
67,67_c01,In search of the castaways,castaways_ch001_w0140,SUPPORT,0.6932643484552964,heuristic_v1,run_20260111_012408
